relative_time,LinearAccelerometerSensor,AccX,AccY
105118,,10.611000061035156,
105119,,,1.0860000848770142
105123,,10.338000297546387,
105124,0.7769861213347939,,2.0269501209259033
105126,,,
105129,,10.147050857543945,2.7690000534057617
105134,,10.051050186157227,
105135,,,3.1969501972198486
105136,,,
105139,,10.246950149536133,
105140,,,3.2310001850128174
105143,,10.420050621032715,
105144,,,3.1399500370025635
105145,0.8689525615092244,,
105149,,10.231050491333008,3.013050079345703
105156,,10.008000373840332,2.848050117492676
105159,,9.562950134277344,
105162,,,2.6899502277374268
105164,0.7339087690440513,9.028950691223145,2.137050151824951
105169,,8.242950439453125,1.5570000410079956
105174,,7.575000286102295,
105175,,,1.062000036239624
105179,,7.0219502449035645,0.492000013589859
105184,0.5611192924020579,6.751950263977051,-0.1080000028014183
105185,,,
105186,,,
105189,,6.567000389099121,-0.7860000133514404
105194,,6.409050464630127,
105195,,,-1.5019500255584717
105199,,6.534000396728516,
105200,,,-2.284950017929077
105204,0.35793671763117957,6.778050422668457,-3.079050064086914
105209,,7.003050327301025,
105210,,,-3.682950258255005
105214,,7.546950340270996,
105215,,,-4.228950023651123
105218,,,
105219,,8.028000831604004,
105220,,,-4.846050262451172
105224,0.40753162401742493,,
105226,,8.920950889587402,-5.565000057220459
105229,,10.07295036315918,
105230,,,-6.142050266265869
105234,,11.029950141906738,
105235,,,-6.736050128936768
105240,,12.06195068359375,-7.381950378417969
105244,0.47311176072397293,,
105247,,13.024950981140137,-7.945050239562988
105249,,13.450950622558594,
105250,,,-8.265000343322754
105254,,14.803950309753418,
105255,,,-8.718000411987305
105260,,15.844950675964355,-9.196950912475586
105265,0.9183712016211814,,
105266,,16.099050521850586,-9.292950630187988
105271,,15.826050758361816,-8.34000015258789
105275,,15.31605052947998,-7.2360005378723145
105276,,,
105280,,14.410950660705566,-5.944950103759766
105285,,13.60200023651123,-5.2099504470825195
105286,1.2067438666182093,,
105289,,12.511950492858887,
105290,,,-4.2430500984191895
105295,,11.418000221252441,-3.4050002098083496
105296,,,
105300,,10.386000633239746,-2.4280500411987305
105305,0.9239969563000573,9.342000007629395,-1.6980000734329224
105309,,8.410950660705566,
105310,,,-0.9769500494003296
105315,,7.647000312805176,-0.3739500045776367
105321,,6.924000263214111,0.19500000774860382
105322,,,
105325,,6.333000183105469,
105326,0.5152964556748512,,0.8220000267028809
105327,,,
105330,,6.033000469207764,1.2199500799179077
105334,,,
105335,,5.800950050354004,1.5310500860214233
105340,,5.622000217437744,1.5670500993728638
105343,,,
105345,0.24746358428960705,,
105346,,5.5159502029418945,1.2940500974655151
105350,,5.562000274658203,
105351,,,0.7740000486373901
105354,,5.679000377655029,
105355,,,0.3460500240325928
105360,,5.722050189971924,0.010950000956654549
105365,0.4396764230315669,,
105366,,5.9070000648498535,-0.2779500186443329
105370,,6.2059502601623535,
105371,,,-0.62295001745224
105375,,6.531000137329102,-0.9529500603675842
105380,,6.796950340270996,
105381,,,-1.2120000123977661
105385,,7.159050464630127,-1.516050100326538
105386,0.6563678136158642,,
105390,,7.446000576019287,
105391,,,-1.7080501317977905
105395,,7.82895040512085,
105396,,,-1.7839500904083252
105400,,8.1670503616333,
105402,,,-1.9330500364303589
105405,,8.539950370788574,
105406,0.918747721558944,,-1.831950068473816
105410,,8.859000205993652,
105412,,,-1.855950117111206
105415,,9.00195026397705,
105416,,,
105420,,,-1.9780501127243042
105421,,9.172050476074219,-2.127000093460083
105424,,,
105425,,9.127050399780273,
105426,,,-2.086050033569336
105427,1.083725632038296,,
105430,,8.940000534057617,
105431,,,-2.0020501613616943
105435,,8.770050048828125,
105436,,,-1.7670000791549683
105441,,8.623950004577637,-1.6639500856399536
105445,,8.513999938964844,
105446,0.8686587251425593,,-1.5400500297546387
105452,,8.530950546264648,-1.3440001010894775
105455,,8.731950759887695,
105456,,,-1.0200001001358032
105457,,,
105460,,9.081000328063965,
105461,,,-0.6679500341415405
105466,0.5481121782915018,,
105469,,9.859950065612793,-0.41505002975463867
105471,,10.67400074005127,-0.1680000126361847
105475,,11.755950927734375,
105476,,,-0.14400000870227814
105481,,12.3589506149292,-0.06705000251531601
105486,0.5025033273159721,,
105488,,13.135050773620605,-0.027000000700354576
105491,,13.77405071258545,0.1469999998807907
105496,,13.908000946044922,-0.22500000894069672
105497,,,
105501,,14.296051025390625,-0.5509500503540039
105506,0.9338668679123409,,
105510,,14.20995044708252,-0.6400500535964966
105511,,14.137950897216797,-0.9340500235557556
105517,,13.971000671386719,
105518,,,-1.0830000638961792
105521,,13.6399507522583,-1.3819500207901
105524,,,
105527,,13.321950912475586,-1.6810500621795654
105530,1.1172075069743452,,
105531,,,
105533,,12.991050720214844,
105534,,,-1.9780501127243042
105535,,,
105537,,12.586950302124023,-2.134050130844116
105541,,12.220050811767578,-2.30400013923645
105546,,11.847000122070312,-2.4400501251220703
105547,0.9154544892887485,,
105548,,,
105551,,11.449050903320312,
105552,,,-2.470950126647949
105556,,10.990050315856934,
105557,,,-2.3710501194000244
105562,,10.68600082397461,-2.4780001640319824
105567,,9.958050727844238,-2.6100001335144043
105568,0.5091996247924717,,
